Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;612759;0;1220;0;611216;0;3880;0
1;83780;612158;0;1200;0;611218;0;3920;0
2;83780;641157;0;1188;0;611219;0;3940;0
3;83780;612155;0;1140;0;613859;0;1155;0
4;83780;611153;0;1110;0;611258;0;1125;0
5;42580;641247;1;1083;0;611219;1;3940;0
6;83780;611150;0;1050;0;641215;0;1057;0
7;42580;612150;1;1040;0;611243;1;1041;0
8;42580;612150;1;1040;0;611243;1;1041;0
9;83780;612149;0;1020;0;612253;0;1035;0
10;83780;612148;0;1000;0;612252;0;1015;0
11;83780;612147;0;980;0;612251;0;995;0
12;42580;612146;0;960;0;612250;1;975;0
13;83780;612146;1;960;0;612250;0;975;0
14;83780;612145;0;940;0;612249;1;955;0
15;42580;612145;1;940;0;612249;0;955;0
16;83780;612144;0;920;0;612248;0;935;0
17;83780;611142;0;890;0;611247;0;905;0
18;83780;611141;0;870;0;611246;0;885;0
19;83780;612140;0;840;0;612244;1;855;0
20;83780;612139;0;820;0;612243;0;835;0
21;83780;612137;0;780;0;612241;1;795;0
22;83780;612133;0;700;0;612237;0;715;0
23;83780;612131;0;660;0;612235;0;675;0
24;83780;611129;0;630;0;611234;0;645;0
25;83780;612125;1;540;0;612229;0;555;0
26;83780;612124;1;520;0;612228;0;535;0
27;42580;612122;0;480;0;612226;1;495;0
28;83780;612122;1;480;0;612226;0;495;0
29;83780;612121;0;460;0;612225;1;475;0
30;83780;612121;1;460;0;612225;0;475;0
31;83780;611119;0;430;0;611224;1;445;0
32;83780;611119;1;430;0;611224;0;445;0
33;83780;613170;0;390;0;612221;0;395;0
34;42580;612123;0;370;0;612220;1;375;0
35;83780;613171;0;370;0;612220;0;375;0
36;83780;612151;0;261;0;611215;0;266;0
37;83780;613170;0;14;0;612221;0;390;0
